,,,,,,,,,,,,,,,
,A repository of open channels containing people working on political and civic technology.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,URL,Name,Type,Self-Description,Purpose,Some Associated Projects,District,Country,Language,Topic,Topic,Topic,Topic,Topic,Notes
,https://groups.google.com/forum/#!forum/democracy-club,Democracy Club,Mailing List,"Democracy Club aims to make the process of democracy better for everyone. We believe that there is a lot of work needed to be done to bring the UK political system in the to digital age, and our tools are a start.",Crowdsource UK Election Data,"WhereDoIVote, WhoCanIVoteFor, Candidates, ElectionIDs, ElectionLeaflets, ElectionMentions, CandidateCVs, MeetYourNextMP",South East,UK,English,Civic Tech,Elections,Democracy,,,
,http://democracyclub.slack.com,Democracy Club,Slack Team,"Democracy Club aims to make the process of democracy better for everyone. We believe that there is a lot of work needed to be done to bring the UK political system in the to digital age, and our tools are a start.",Crowdsource UK Election Data,"WhereDoIVote, WhoCanIVoteFor, Candidates, ElectionIDs, ElectionLeaflets, ElectionMentions, CandidateCVs, MeetYourNextMP",South East,UK,English,Civic Tech,Elections,Democracy,,,
,https://groups.google.com/forum/#!forum/poplus,Poplus,Mailing List,"A global federation for civic tech, sharing technology to help civic and democratic projects… everywhere",Create open source civic tech components,"(WriteIt, Write and send messages to public figures) (MapIt, Map geographic points to administrative boundaries) (BillIt, Record, search and track bills as they change) (SayIt, Search, browse and share your transcripts) (Represent Boundaries, Match your users with location-based information) (Cuttlefish, A lovely, easy-to-set-up transactional email server)",Global,Global,English,Civic Tech,,,,,
,http://www.meetup.com/Journocoders/,Journocoders,Meetup Group,"Journocoders is a monthly event for exchanging practical advice on coding in relation to journalism, whether that's making an incredible data visualisation, scraping gigs of data off the web or building a novelty Twitter bot.",Teach journalists to code,,London,UK,English,Journalism,Learn To Code,,,,In Person Event
,https://www.mysociety.org/subscribe/,My Society,Mailing List,"We build and share digital technologies that give people the power to get things changed, across the three areas of Democracy, Freedom of Information, and Better Cities.",Civic Engagement,"FixMyStreet, WhatDoTheyKnow (freedom of information), TheyWorkForYou (parlimentary monitoring), Alaveteli users/discussion group",,UK,English,Democracy,Civic Tech,FOI,,,
,http://groups.dowire.org/groups/exchange,Democracies Online Exchange,Forum,"Join over 750 members on the two-way Democracies Online Exchange ... a global who's who of experts, practitioners, and researchers on open government, civic technology, participation, transparency and all things e-democracy.","Announce, source/make & discuss, democratic structure tools (Civic Engagement)",,,UK,English,Campaigning,Democracy,Announcments,Academia,Internationalism,
,https://www.facebook.com/groups/thefourthgroup/,The Fourth Group,Facebook Group,We are a group of people working together to create a new politics for the fourth industrial revolution.,"Civic Engagement, Campaigning",,,UK,English,NewPolitics,Democracy,Community Organising,Technology,,
,https://datafordemocracy.slack.com/,Data For Democracy,Slack Team,Like-minded people from around the world gathered to work on technology that has an impact. No structure. No rules. Just code commits and lots of Slack messages,Make digital tools for democracy,,,,English,Digital Democracy,Open Data,Democracy,,,
